--- DEBUG | (2024-07-30 14:44:25,840) | Filename:run_fapi.py | Func:def <module> | Структура проекта успешно сохранена в файле.

--- DEBUG | (2024-07-30 14:44:25,842) | Filename:async_models.py | Func:def async_create_database | База данных уже существует.

--- DEBUG | (2024-07-30 14:44:25,851) | Filename:async_models.py | Func:def async_create_database | as_Все необходимые таблицы уже существуют.

--- DEBUG | (2024-07-30 14:44:25,852) | Filename:run_fapi.py | Func:def <module> | Проект запущен !

--- DEBUG | (2024-07-30 14:44:49,101) | Filename:run_fapi.py | Func:def <module> | Структура проекта успешно сохранена в файле.

--- DEBUG | (2024-07-30 14:44:49,103) | Filename:async_models.py | Func:def async_create_database | База данных уже существует.

--- DEBUG | (2024-07-30 14:44:49,106) | Filename:async_models.py | Func:def async_create_database | as_Все необходимые таблицы уже существуют.

--- DEBUG | (2024-07-30 14:44:49,106) | Filename:run_fapi.py | Func:def <module> | Проект запущен !

--- DEBUG | (2024-07-30 14:59:36,603) | Filename:run_fapi.py | Func:def <module> | Структура проекта успешно сохранена в файле.

--- DEBUG | (2024-07-30 14:59:36,604) | Filename:async_models.py | Func:def async_create_database | База данных уже существует.

--- DEBUG | (2024-07-30 14:59:36,608) | Filename:async_models.py | Func:def async_create_database | as_Все необходимые таблицы уже существуют.

--- DEBUG | (2024-07-30 14:59:36,609) | Filename:run_fapi.py | Func:def <module> | Проект запущен !

--- DEBUG | (2024-07-30 15:08:39,656) | Filename:run_fapi.py | Func:def <module> | Структура проекта успешно сохранена в файле.

--- DEBUG | (2024-07-30 15:08:39,658) | Filename:async_models.py | Func:def async_create_database | База данных уже существует.

--- DEBUG | (2024-07-30 15:08:39,662) | Filename:async_models.py | Func:def async_create_database | as_Все необходимые таблицы уже существуют.

--- DEBUG | (2024-07-30 15:08:39,663) | Filename:run_fapi.py | Func:def <module> | Проект запущен !

